"T1_1h_R1";"T1_2h_R1";"T1_3h_R1";"T1_4h_R1";"T1_5h_R1";"T1_6h_R1";"T2_1h_R1";"T2_2h_R1";"T2_3h_R1";"T2_4h_R1";"T2_5h_R1";"T2_6h_R1";"T3_1h_R1";"T3_2h_R1";"T3_3h_R1";"T3_4h_R1";"T3_5h_R1";"T3_6h_R1";"T1_1h_R2";"T1_2h_R2";"T1_3h_R2";"T1_4h_R2";"T1_5h_R2";"T1_6h_R2";"T2_1h_R2";"T2_2h_R2";"T2_3h_R2";"T2_4h_R2";"T2_5h_R2";"T2_6h_R2";"T3_1h_R2";"T3_2h_R2";"T3_3h_R2";"T3_4h_R2";"T3_5h_R2";"T3_6h_R2"
"G21";-0.263641269144854;-0.415731150865748;0.137866654510418;-0.281272618176141;-0.244666945967233;0.372875636789607;0.0166635849754924;-0.739150108234016;-0.977604911165489;-2.33853653072571;-2.24595394027267;-2.76352175480831;-0.182429687006136;-1.09240575339028;-0.996437931692156;-2.17295097561084;-1.66637579524328;-2.00275993001359;-0.076929051454047;0.133406639958421;-0.408124349825569;0.304685500308041;0.45559347208417;0.570902908567873;0.189539652276915;-0.755431129159689;-0.732103940130834;-1.43305006435848;-1.35477666857142;-2.19148063958915;-0.222533993311232;-0.68171682476803;-1.36247608817933;-1.57667188844123;-2.11076913113558;-2.2504100522258
"G22";0.179834295484157;-0.13711495699241;0.0967980476956547;0.231279668101642;-0.341799437367846;-0.106336562949553;0.3409451727753;1.02332095757609;1.96366019238445;2.02636939126377;2.10449196526116;2.5601045563877;0.59143440526759;1.34644052603432;1.81691457384308;2.26270111827193;2.24725439154893;2.31139053248537;0.076685918500198;0.33429496272883;0.0646211435200374;0.0711242879978262;-0.305062105022887;-0.578171499720975;0.727277239283997;1.33480173345773;1.72450570980807;1.62038280132538;1.83914651157301;2.45083328004004;0.625130343004587;1.37156007442414;1.78101211610524;1.98737876464659;1.95964279216397;2.36386937177834
"G23";0.128797954901066;0;0;0;0;0;0;0.298643242544021;2.37192477705043;2.64044873511795;2.37009398168344;3.11406385264389;0;0.109390297799146;1.60794601844098;1.32829200960203;1.55770949179005;2.27790431906027;0;0;0;0;0;0;0;0.693108196171029;1.9246283239334;2.77938669903302;3.20695618280208;3.85982107502179;0;0.679786227930368;0.86182590464903;2.03134426645828;2.66214914234193;3.37123203467464
"G24";-0.0475270141475361;-0.0710898256089321;-0.0133617551022676;0.32218683675589;-0.128565557809519;-0.259498598252844;0.314358015504532;1.57331319503572;2.62118339836802;2.67820015317913;2.4990942001215;2.58971201476323;0.336892548168475;1.78149576584974;2.41657864274358;2.70755682288181;2.77232789754126;2.5043921768945;0.11175536561488;-0.03091749481103;0.135390170999309;-0.239687226327231;-0.334348482345334;-0.497513783587304;0.543958602329167;1.88841943035349;2.40998148002093;2.27215949044431;2.58094882108675;2.53040501451507;0.506264585223131;1.95819978755629;2.57177065373229;2.62084798025233;2.6331241254114;2.47187574905675
"G25";-0.221102649553084;0.303562315301806;0.0369710702255381;0.588136151088816;-0.207168055793682;-0.26667099785363;0.341631641919385;1.96534205298518;2.81301601100964;3.02410411512097;2.31264047734688;2.72555482342234;0.286630522586909;2.13270108526151;2.91106257083686;3.19834259779313;2.56255864387769;2.50182160850615;-0.0330570771134857;0.206885452137469;0.30900850825335;-0.0433713172018222;-0.491428158205959;-0.825196868845509;0.41942715227745;2.42520674041808;2.6206305201562;2.69441848414345;2.33205654541814;2.45641826317597;0.400032819605909;2.34768478352807;2.92014703378405;2.89403950830041;2.14568604554871;2.37509870711646
"G26";-0.543603863605382;-0.0179320987624503;-1.57363039790181;-0.376034888894575;0.113513431092643;-1.14844990166593;-0.292997466417468;0.299959970424363;-2.43224215249435;-2.63917338512228;-3.15011944490384;-3.50721731265167;-0.544251436807082;-0.922408199484917;-1.49182873190038;-3.18496672088248;-3.79030498431257;-2.26836865822913;0.00113241970600653;-1.23960808794966;-0.517289708435371;-1.77270453582578;-0.773074821173561;0.257831291331482;-0.393436496833199;-2.0638922423137;-1.09960757266495;-4.98769423775809;-5.11052996324665;-3.19954259854258;0.264749538714932;-2.10782856884508;-1.99776967730391;-3.96672257804213;-5.52737374014794;-3.7387106146538
"G27";0.1185370047545;0.215190484737533;0.0174515016368533;0.171940507135468;-0.0223294312669671;-0.019059291913436;0.275613376166955;1.09119796339341;1.69851151230152;1.84945179342368;1.89441828152965;2.14534068988699;0.342566004592754;1.25893181519717;1.64255600352185;1.83784584185426;1.87340727183571;2.05678220637506;-0.101408773473697;-0.144641030197068;0.168538958566808;-0.369191331234011;-0.326506473744668;-0.471228552386756;0.271341852761517;1.13813443410465;1.46013528685859;1.81860776831006;1.83883267367908;2.06264631785549;0.121401083453993;1.3171311436102;1.61320024742232;1.80815726609529;1.91295062040803;2.14730525267878
"G28";-0.151154285245078;-0.234627862573396;-0.335060456445416;-0.0654610651428502;0.0579801502246751;-0.174968714222186;-0.211790483235103;-0.89281417093907;-1.59901593313618;-1.66859073254027;-1.7070918145147;-2.28494300126835;-0.414612466811876;-1.10166885628356;-1.77652944169098;-1.83773583049254;-1.71644386458504;-2.15172473606873;-0.0813775997628055;-0.177271473295223;-0.320944902824664;-0.123986095807821;-0.041490030639622;0.151312046562421;-0.192782148138341;-1.23974845081721;-1.57778483244378;-1.78841104252002;-2.27759954307671;-2.00302617924662;-0.279147784594312;-1.53882663582262;-1.91846516697297;-2.0608988618479;-2.28117039504533;-2.12443666208846
"G29";-0.254563839066663;-0.00351268419763351;-0.22450153566833;0.226184210549556;0.152409992462543;-0.0456627374916868;0.662641300743589;0.689709686539011;2.96909720930953;2.91073455286405;2.74770783031204;3.55216790127403;0.0743155158174769;1.23585254929393;2.3891336036017;2.58318195725462;3.25008864149301;3.28800518360906;-0.259912051617638;-0.191776553552105;0.607387426270677;-0.0642867149089447;-0.130500162116061;0.00426226712401506;0.129767667793974;1.54674493618739;2.82890279536027;2.53861864787906;3.1703040993725;3.18300754265094;0.44822252041899;1.89573086304214;2.76025690748858;2.62392314030637;2.88580734827887;2.99915865408247
"G30";0.431190524718;0.477159773117424;-0.359504550906278;-0.314559361770249;-0.0143988391820309;-0.258348993179822;1.38469434210914;2.11695541982386;1.75237433488457;2.58520142662089;2.61434400446537;3.08778347656483;1.35903196673063;2.19861473239656;1.95623359849846;2.23950722832941;2.13710574841438;2.80229333954464;0.160138260910754;0.0332332726349145;-0.234047076492445;-0.0480770304685518;0.162195072328971;-0.00632314403108047;1.6590357264168;1.60501502151137;1.79537039525432;2.3677998362664;2.49499178258848;3.1975965153641;1.39859733990149;1.62138702013667;2.0397343391503;2.03636761230364;2.38503005046391;2.92844331662025
